+034,+085,根室,ねむろ
+033,+085,N
+032,+086,別海,べつかい
+032,+085,M
+032,+084,C
+031,+091,羅臼,らうす
+031,+090,M
+031,+089,M
+031,+086,H
+031,+084,M
+030,+092,知床,しれとこ
+030,+091,M
+030,+090,M
+030,+089,M
+030,+088,標津,しべつ
+030,+087,M
+030,+086,C
+030,+084,C
+030,+083,浜中,はまなか
+029,+090,N
+029,+088,M
+029,+087,M
+029,+086,M
+029,+085,M
+029,+084,C
+029,+083,C
+029,+082,C
+028,+090,C
+028,+087,摩周,ましゅう
+028,+084,C
+028,+082,C
+028,+081,C
+027,+090,斜里,しゃり
+027,+089,P
+027,+088,P
+027,+087,弟子屈,てしかが
+027,+086,P
+027,+085,P
+027,+084,C
+027,+081,厚岸,あっけし
+026,+091,網走,あばしり
+026,+090,N
+026,+087,M
+026,+085,P
+026,+084,漂茶,しべちゃ
+026,+083,P
+026,+082,M
+026,+081,釧路,くしろ
+025,+091,S
+025,+090,美幌,びほろ
+025,+089,M
+025,+088,M
+025,+087,阿寒,あかん
+025,+086,P
+025,+085,P
+025,+081,M
+024,+091,常呂,ところ
+024,+090,M
+024,+085,P
+024,+082,C
+024,+081,M
+023,+090,北見,きたみ
+023,+089,M
+023,+088,C
+023,+087,陸別,りくべつ
+023,+085,P
+023,+082,C
+022,+090,M
+022,+087,C
+022,+086,C
+022,+085,P
+022,+084,足寄,あしょろ
+022,+083,本別,ほんべつ
+022,+082,池田,いけだ
+021,+093,湧別,ゆうべつ
+021,+092,遠軽,えんがる
+021,+091,M
+021,+090,P
+021,+085,M
+021,+082,C
+020,+093,C
+020,+092,M
+020,+091,M
+020,+085,士幌,しほろ
+020,+084,M
+020,+083,M
+020,+082,音更,おとふけ
+020,+081,帯広,おびひろ
+020,+080,D
+020,+079,D
+020,+078,P
+020,+077,P
+020,+076,H
+020,+075,広尾,ひろお
+019,+095,紋別,もんべつ
+019,+094,C
+019,+093,C
+019,+091,M
+019,+081,芽室,めむろ
+019,+078,M
+018,+096,C
+018,+095,興部,おこっぺ
+018,+094,M
+018,+093,C
+018,+091,M
+018,+081,M
+018,+078,中札内,なかさつない
+017,+096,M
+017,+095,C
+017,+093,C
+017,+091,M
+017,+084,M
+017,+083,M
+017,+082,新得,しんとく
+017,+081,M
+017,+075,M
+017,+074,襟裳,えりも
+016,+099,C
+016,+098,M
+016,+097,M
+016,+096,C
+016,+095,C
+016,+094,C
+016,+093,M
+016,+092,M
+016,+091,上川,かみかわ
+016,+084,P
+016,+082,M
+016,+081,M
+016,+076,様似,さまに
+016,+075,M
+016,+006,C
+015,+100,枝幸,えさし
+015,+099,M
+015,+094,C
+015,+091,C
+015,+090,当麻,とうま
+015,+085,C
+015,+084,C
+015,+082,M
+015,+081,M
+015,+077,M
+015,+076,浦河,うらかわ
+015,+058,M
+015,+055,M
+015,+052,C
+015,+049,M
+015,+047,M
+015,+044,C
+015,+041,M
+015,+038,M
+015,+036,C
+015,+033,M
+015,+006,銚子,ちょうし
+014,+101,浜頓別,はまとんべつ
+014,+100,M
+014,+099,H
+014,+098,C
+014,+096,P
+014,+095,美深,びふか
+014,+094,名寄,なよろ
+014,+093,士別,しべつ
+014,+092,和寒,わっさむ
+014,+091,C
+014,+090,旭川,あさひかわ
+014,+089,C
+014,+088,C
+014,+087,C
+014,+086,美瑛,びえい
+014,+085,富良野,ふらの
+014,+082,M
+014,+081,P
+014,+078,C
+014,+077,静内,しずない
+014,+048,浄土ヶ浜,じょうどがはま
+014,+006,神栖,かみす
+014,+005,C
+013,+102,猿払,さるふつ
+013,+101,M
+013,+098,音威子府,おといねっぷ
+013,+097,C
+013,+096,C
+013,+095,P
+013,+094,P
+013,+093,C
+013,+092,幌加内,ほろかない
+013,+090,P
+013,+087,芦別,あしべつ
+013,+086,C
+013,+085,C
+013,+081,M
+013,+080,M
+013,+078,C
+013,+054,H
+013,+053,久慈,くじ
+013,+052,L
+013,+051,C
+013,+050,M
+013,+049,M
+013,+048,宮古,みやこ
+013,+047,M
+013,+006,P
+013,+005,旭,あさひ
+012,+103,M
+012,+102,C
+012,+100,P
+012,+099,M
+012,+098,M
+012,+095,P
+012,+092,C
+012,+090,P
+012,+089,深川,ふかがわ
+012,+088,C
+012,+087,滝川,たきかわ
+012,+086,砂川,すながわ
+012,+085,C
+012,+083,夕張,ゆうばり
+012,+082,M
+012,+081,M
+012,+080,P
+012,+079,P
+012,+078,日高,ひだか
+012,+055,M
+012,+054,C
+012,+049,岩泉,いわいずみ
+012,+048,M
+012,+047,C
+012,+046,C
+012,+045,大槌,おおつち
+012,+044,釜石,かまいし
+012,+043,M
+012,+042,M
+012,+041,C
+012,+040,大船渡,おおふなと
+012,+033,M
+012,+031,L
+012,+030,相馬,そうま
+012,+029,飯館,いいたて
+012,+028,浪江,なみえ
+012,+027,P
+012,+026,P
+012,+025,いわき,いわき
+012,+024,M
+012,+023,北茨城,きたいばらき
+012,+022,高萩,たかはぎ
+012,+021,日立,ひたち
+012,+020,C
+012,+019,C
+012,+018,C
+012,+017,C
+012,+016,C
+012,+015,C
+012,+014,C
+012,+013,D
+012,+012,ひたちなか,ひたちなか
+012,+011,大洗,おおあらい
+012,+010,C
+012,+009,鉾田,ほこた
+012,+008,鹿嶋,かしま
+012,+007,潮来,いたこ
+012,+006,香取,かとり
+012,+005,M
+012,+003,C
+012,+002,M
